Netid State      Recv-Q Send-Q                                                                            Local Address:Port         Peer Address:Port  Process
u_str ESTAB      0      0                                                                                             * 364829                  * 364828       
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 363876                  * 365591       
u_str ESTAB      0      0                                                                                             * 33271                   * 37511        
u_str ESTAB      0      0                                                                                             * 33214                   * 36646        
u_str ESTAB      0      0                                                                                             * 31811                   * 31015        
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 19488                   * 19487        
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 17037                   * 16315        
u_str ESTAB      0      0                                                                                             * 369674                  * 369675       
u_str ESTAB      0      0                                                                                             * 363179                  * 361186       
u_str ESTAB      0      0                                                                                             * 357411                  * 357412       
u_str ESTAB      0      0                                                                                             * 352027                  * 352026       
u_str ESTAB      0      0                                                                                             * 30320                   * 31801        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 25502                   * 31772        
u_str ESTAB      0      0                                                                                             * 656                     * 17470        
u_str ESTAB      0      0                                                                            @/tmp/.X11-unix/X1 352801                  * 357128       
u_str ESTAB      0      0                                                                                             * 41688                   * 41687        
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 38128                   * 38127        
u_str ESTAB      0      0                                                                                             * 25558                   * 31017        
u_str ESTAB      0      0                                                                                             * 30021                   * 24292        
u_str ESTAB      0      0                                                                                             * 352822                  * 356283       
u_str ESTAB      0      0                                                                                             * 38886                   * 38885        
u_dgr ESTAB      0      0                                                                                             * 39256                   * 466          
u_str ESTAB      0      0                                                                                             * 33716                   * 38524        
u_str ESTAB      0      0                                                                                             * 37612                   * 38085        
u_str ESTAB      0      0                                                                                             * 30231                   * 30230        
u_str ESTAB      0      0                                                                                             * 703296                  * 703295       
u_str ESTAB      0      0                                                                                             * 363959                  * 363960       
u_str ESTAB      0      0                                                                                             * 40087                   * 40086        
u_str ESTAB      0      0                                                                                             * 366099                  * 366100       
u_str ESTAB      0      0                                                                                             * 190906                  * 188093       
u_str ESTAB      0      0                                                                            @/tmp/.X11-unix/X1 38538                   * 39184        
u_str ESTAB      0      0                                                                                             * 742084                  * 740187       
u_str ESTAB      0      0                                                                                             * 357730                  * 357731       
u_str ESTAB      0      0                                                                                             * 356288                  * 356289       
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 37744                   * 37743        
u_str ESTAB      0      0                                                                                             * 16305                   * 17030        
u_str ESTAB      0      768                                                                                           * 363295                  * 363294       
u_str ESTAB      0      0                                                                                             * 352943                  * 352944       
u_str ESTAB      0      0                                                                            /run/user/1000/bus 360302                  * 362232       
u_str ESTAB      0      0                                                                                             * 352914                  * 352915       
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 190889                  * 191630       
u_str ESTAB      0      0                                                                            /run/user/1000/bus 36690                   * 38013        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 33288                   * 38002        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 31800                   * 30319        
u_str ESTAB      0      0                                                                                             * 658703                  * 658702       
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 364043                  * 364971       
u_str ESTAB      0      0                                                                                             * 361200                  * 361201       
u_str ESTAB      0      0                                                                                             * 32732                   * 36561        
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 25154                   * 25153        
u_str ESTAB      0      0                                                                                             * 38840                   * 38841        
u_str ESTAB      0      0                                                                                             * 36639                   * 36645        
u_str ESTAB      0      0                                                                                             * 360417                  * 363293       
u_str ESTAB      0      0                                                                                             * 41831                   * 41832        
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 36825                   * 38091        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 36634                   * 36633        
u_dgr ESTAB      0      768                                                                                           * 16968                   * 16967        
u_dgr ESTAB      0      0                                                                                             * 16907                   * 16908        
u_str ESTAB      0      0                                                                                             * 362211                  * 362210       
u_str ESTAB      0      0                                                                                             * 362210                  * 362211       
u_str ESTAB      0      0                                                                                             * 36839                   * 38095        
u_str ESTAB      0      0                                                                   /run/user/1000/at-spi/bus_1 37614                   * 37613        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 37504                   * 37503        
u_str ESTAB      0      0                                                                                             * 735981                  * 735982       
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 364738                  * 363873       
u_str ESTAB      0      0                                                                                             * 39150                   * 33687        
u_str ESTAB      0      0                                                                                             * 37538                   * 36687        
u_str ESTAB      0      0                                                                                             * 351907                  * 351906       
u_str ESTAB      0      0                                                                                             * 36580                   * 37405        
u_str ESTAB      0      0                                                                                             * 658652                  * 658653       
u_str ESTAB      0      0                                                                                             * 353005                  * 353006       
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 37663                   * 37662        
u_str ESTAB      0      0                                                                                             * 33407                   * 33408        
u_str ESTAB      0      0                                                                                             * 33334                   * 36694        
u_str ESTAB      0      0                                                                                             * 365611                  * 365610       
u_str ESTAB      0      0                                                                            @/tmp/.X11-unix/X1 363872                  * 364737       
u_str ESTAB      0      0                                                                                             * 362232                  * 360302       
u_str ESTAB      0      0                                                                                             * 357731                  * 357730       
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 36582                   * 33116        
u_str ESTAB      0      0                                                                                             * 30327                   * 25553        
u_dgr ESTAB      0      0                                                                                             * 25393                   * 468          
u_str ESTAB      0      0                                                                                             * 19472                   * 16351        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 982                     * 18563        
u_str ESTAB      0      0                                                                                             * 369820                  * 369821       
u_str ESTAB      0      0                                                                                             * 368084                  * 368083       
u_str ESTAB      0      0                                                                                             * 364951                  * 364952       
u_str ESTAB      0      0                                                                                             * 363556                  * 363555       
u_seq ESTAB      0      768                                                                                           * 39046                   * 39045        
u_str ESTAB      0      0                                                                                             * 37992                   * 37485        
u_str ESTAB      0      0                                                                                             * 18750                   * 18753        
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 17036                   * 16313        
u_str ESTAB      0      0                                                                                             * 38535                   * 38534        
u_str ESTAB      0      0                                                                                             * 33714                   * 39172        
u_str ESTAB      0      0                                                                                             * 38091                   * 36825        
u_str ESTAB      0      0                                                                            /run/user/1000/bus 31044                   * 25598        
u_str ESTAB      0      0                                                                                             * 658735                  * 658736       
u_str ESTAB      0      0                                                                                             * 364495                  * 364496       
u_str ESTAB      0      0                                                                            @/tmp/.X11-unix/X1 38525                   * 33717        
u_str ESTAB      0      0                                                                            @/tmp/.X11-unix/X1 41996                   * 39453        
u_str ESTAB      0      0                                                                            @/tmp/.X11-unix/X1 38543                   * 39189        
u_str ESTAB      0      0                                                                                             * 37622                   * 38090        
u_str ESTAB      0      0                                                                            /run/user/1000/bus 37898                   * 37897        
u_str ESTAB      0      0                                                                     /run/user/1000/pipewire-0 598888                  * 600036       
u_str ESTAB      0      0                                                                                             * 368472                  * 368471       
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 218040                  * 218946       
u_str ESTAB      0      0                                                                                             * 40658                   * 40657        
u_str ESTAB      0      0                                                                                             * 40589                   * 40590        
u_str ESTAB      0      0                                                                                             * 574796                  * 0            
u_str ESTAB      0      0                                                                                             * 142795                  * 141194       
u_str ESTAB      0      0                                                                                             * 37671                   * 37672        
u_str ESTAB      0      0                                                                                             * 368652                  * 368651       
u_str ESTAB      0      0                                                                                             * 356274                  * 352803       
u_str ESTAB      0      0                                                                                             * 36568                   * 32737        
u_str ESTAB      0      0                                                                                             * 658702                  * 658703       
u_str ESTAB      0      0                                                                                             * 369675                  * 369674       
u_str ESTAB      0      0                                                                                             * 366707                  * 367975       
u_str ESTAB      0      0                                                                                             * 170268                  * 167802       
u_str ESTAB      0      0                                                                                             * 38041                   * 38042        
u_str ESTAB      0      0                                                                                             * 16315                   * 17037        
u_str ESTAB      0      0                                                                                             * 368083                  * 368084       
u_str ESTAB      0      0                                                                                             * 366600                  * 366601       
u_str ESTAB      0      0                                                                                             * 352869                  * 352870       
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 191785                  * 191784       
u_str ESTAB      0      0                                                                                             * 188095                  * 187209       
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 36716                   * 38043        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 31801                   * 30320        
u_str ESTAB      0      0                                                                                             * 363646                  * 363647       
u_str ESTAB      0      0                                                          /run/user/1000/gvfsd/socket-Fvy5sWw0 221233                  * 222226       
u_str ESTAB      0      0                                                                                             * 39140                   * 39139        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 17062                   * 17059        
u_dgr ESTAB      0      0                                                                                             * 41324                   * 466          
u_str ESTAB      0      0                                                                         /run/pcscd/pcscd.comm 40070                   * 39159        
u_str ESTAB      0      0                                                                                             * 36843                   * 36844        
u_str ESTAB      0      0                                                                                             * 36827                   * 33417        
u_str ESTAB      0      0                                                                            /run/user/1000/bus 38090                   * 37622        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 33310                   * 37525        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 33289                   * 37517        
u_str ESTAB      0      0                                                                                             * 37951                   * 33178        
u_str ESTAB      0      0                                                                            @/tmp/.X11-unix/X1 40554                   * 38755        
u_str ESTAB      0      0                                                                   /run/user/1000/at-spi/bus_1 36756                   * 38077        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 33290                   * 36673        
u_str ESTAB      0      0                                                                                             * 37389                   * 37390        
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 31045                   * 25599        
u_dgr ESTAB      0      0                                                                                             * 16909                   * 16910        
u_str ESTAB      0      0                                                                                             * 357233                  * 357234       
u_str ESTAB      0      0                                                                                             * 36670                   * 36671        
u_str ESTAB      0      0                                                                                             * 29345                   * 29350        
u_str ESTAB      0      0                                                                                             * 364740                  * 363439       
u_str ESTAB      0      0                                                                                             * 360418                  * 360419       
u_str ESTAB      0      0                                                                                             * 360316                  * 360317       
u_str ESTAB      0      0                                                                                             * 33108                   * 37403        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 32841                   * 30410        
u_str ESTAB      0      0                                                                                             * 369759                  * 369758       
u_str ESTAB      0      0                                                                            /run/user/1000/bus 365595                  * 363446       
u_str ESTAB      0      0                                                                                             * 363173                  * 363172       
u_seq ESTAB      0      0                                                                                             * 362158                  * 362157       
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 33232                   * 33231        
u_str ESTAB      0      0                                                                            /run/user/1000/bus 31009                   * 31798        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 25501                   * 31771        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 18753                   * 18750        
u_str ESTAB      0      0                                                                                             * 16312                   * 17034        
u_str ESTAB      0      0                                                                                             * 701348                  * 701347       
u_str ESTAB      0      0                                                                                             * 219563                  * 218945       
u_dgr ESTAB      0      0                                                                                             * 667                     * 468          
u_dgr ESTAB      0      0                                                                                             * 534                     * 14962        
u_str ESTAB      0      0                                                                                             * 365907                  * 365908       
u_str ESTAB      0      0                                                                                             * 360205                  * 360206       
u_str ESTAB      0      0                                                                                             * 37656                   * 37657        
u_str ESTAB      0      0                                                                            @/tmp/.X11-unix/X1 33408                   * 33407        
u_str ESTAB      0      0                                                                            /run/user/1000/bus 36686                   * 33322        
u_str ESTAB      0      0                                                                                             * 36569                   * 36570        
u_str ESTAB      0      0                                                                                             * 400440                  * 400439       
u_str ESTAB      0      0                                                                                             * 363885                  * 363447       
u_str ESTAB      0      0                                                                            @/tmp/.X11-unix/X1 188093                  * 190906       
u_str ESTAB      0      0                                                                                             * 40086                   * 40087        
u_str ESTAB      0      0                                                                                             * 352134                  * 352135       
u_str ESTAB      0      0                                                                                             * 356352                  * 356351       
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 40846                   * 42055        
u_str ESTAB      0      0                                                                   /run/user/1000/at-spi/bus_1 41736                   * 39493        
u_str ESTAB      0      0                                                                                             * 41687                   * 41688        
u_str ESTAB      0      0                                                                            /run/user/1000/bus 33404                   * 38081        
u_str ESTAB      0      0                                                                                             * 38755                   * 40554        
u_str ESTAB      0      0                                                                                             * 33726                   * 38541        
u_str ESTAB      0      0                                                                                             * 33675                   * 33676        
u_str ESTAB      0      0                                                                            @/tmp/.X11-unix/X1 37452                   * 37956        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 31797                   * 25544        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 30833                   * 30832        
u_str ESTAB      0      0                                                                                             * 30230                   * 30231        
u_str ESTAB      0      0                                                                                             * 363448                  * 365607       
u_str ESTAB      0      0                                                                                             * 361350                  * 363248       
u_str ESTAB      0      0                                                                                             * 352907                  * 352906       
u_str ESTAB      0      0                                                                            /run/user/1000/bus 38061                   * 38058        
u_str ESTAB      0      0                                                                                             * 30995                   * 31795        
u_str ESTAB      0      0                                                                                             * 417981                  * 412315       
u_str ESTAB      0      0                                                                                             * 399593                  * 399594       
u_str ESTAB      0      0                                                                                             * 382704                  * 382705       
u_str ESTAB      0      0                                                                                             * 361190                  * 361189       
u_str ESTAB      0      0                                                                                             * 361179                  * 361178       
u_str ESTAB      0      0                                                                                             * 38069                   * 36737        
u_str ESTAB      0      0                                                                                             * 30419                   * 31979        
u_str ESTAB      0      0                                                                                             * 449242                  * 449243       
u_str ESTAB      0      0                                                                                             * 364501                  * 364502       
u_str ESTAB      0      0                                                                                             * 357837                  * 357836       
u_str ESTAB      0      0                                                                                             * 24112                   * 24111        
u_str ESTAB      0      0                                                                                             * 399594                  * 399593       
u_str ESTAB      0      0                                                                                             * 351965                  * 351964       
u_str ESTAB      0      0                                                                                             * 37648                   * 38106        
u_str ESTAB      0      0                                                                                             * 400441                  * 400442       
u_str ESTAB      0      0                                                                                             * 222226                  * 221233       
u_str ESTAB      0      0                                                                                             * 36842                   * 33444        
u_str ESTAB      0      0                                                                                             * 36836                   * 33439        
u_str ESTAB      0      0                                                                   /run/user/1000/at-spi/bus_1 37599                   * 37598        
u_str ESTAB      0      0                                                                                             * 37956                   * 37452        
u_str ESTAB      0      0                                                                                             * 25544                   * 31797        
u_str ESTAB      0      0                                                                                             * 16939                   * 17028        
u_str ESTAB      0      0                                                                                             * 657750                  * 657751       
u_str ESTAB      0      0                                                                                             * 33791                   * 33792        
u_str ESTAB      0      0                                                                                             * 38976                   * 38194        
u_str ESTAB      0      0                                                                                             * 37553                   * 38052        
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 17033                   * 17020        
u_str ESTAB      0      0                                                                                             * 373250                  * 373251       
u_str ESTAB      0      0                                                                                             * 357240                  * 357241       
u_str ESTAB      0      0                                                                                             * 38884                   * 38883        
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 31775                   * 30280        
u_str ESTAB      0      0                                                                                             * 738823                  * 739528       
u_str ESTAB      0      0                                                                                             * 41079                   * 41080        
u_str ESTAB      0      0                                                                     /run/user/1000/pipewire-0 38187                   * 38186        
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 37456                   * 36612        
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 36593                   * 36592        
u_str ESTAB      0      0                                                                                             * 31751                   * 25492        
u_str ESTAB      0      0                                                                                             * 703528                  * 703529       
u_str ESTAB      0      0                                                                                             * 365604                  * 365605       
u_seq ESTAB      0      0                                                                                             * 362157                  * 362158       
u_str ESTAB      0      0                                                                   /run/dbus/system_bus_socket 32764                   * 33125        
u_str ESTAB      0      0                                                                            /run/user/1000/bus 37403                   * 33108        
u_str ESTAB      0      0                                                                                             * 30293                   * 31788        
u_str ESTAB      0      0                                                                            /run/user/1000/bus 31754                   * 31753        
u_str ESTAB      0      0                                                               /run/containerd/containerd.sock 24837                   * 24836        
u_str ESTAB      0      0                                                                                             * 701331                  * 701330       
u_str ESTAB      0      0                                                                                             * 366593                  * 366594       
u_str ESTAB      0      0                                                                            /run/user/1000/bus 190902                  * 188088       
u_str ESTAB      0      0                                                                   /run/systemd/journal/stdout 111050                  * 112002       
u_str ESTAB      0      0                                                                            @/tmp/.X11-unix/X1 33697                   * 38363        
u_seq ESTAB      0      768                                                                                           * 33642                   * 33641        
u_str ESTAB      0      0                                                                                             * 31771                   * 25501        
u_str ESTAB      0      0                                                                                             * 18563                   * 982          
u_str ESTAB      0      0                                                                   /run/user/1000/pulse/native 600035                  * 600839       
u_str ESTAB      0      0                                                                                             * 351974                  * 351973       
u_str ESTAB      9832   0                                                                                             * 40001                   * 40002        
